
 Ranges in which the basis is unchanged:

                                       Objective Coefficient Ranges:

                                        Current        Allowable        Allowable
                      Variable      Coefficient         Increase         Decrease
  LITROS_LECHE_DESCREMADA_SANT         24.44000         INFINITY         25.62395
  LITROS_LECHE_DESCREMADA_SANT         24.44000         INFINITY         20.56479
   LITROS_ENTERA_A_DESCREMADA(         0.000000         1.734670         2.671677
   LITROS_ENTERA_A_DESCREMADA(         0.000000         2.671677         1.329937
              LITROS_CREMA( 1)         0.000000         21.68337         33.39596
              LITROS_CREMA( 2)         0.000000         33.39596         16.62421
                      S( 3, 1)         0.000000         INFINITY         19.99207
                      S( 3, 2)         0.000000         INFINITY         15.32752
                      S( 3, 3)         0.000000         INFINITY         0.000000
                      S( 4, 1)         0.000000         17.53394         4.818248
                      S( 4, 2)         0.000000         4.818248         15.32752
                      S( 4, 3)         0.000000         INFINITY         29.33431
                   Q( 1, 1, 1)         18.41064         47.85841         23.87453
                   Q( 1, 1, 2)         60.59578         INFINITY         31.06898
                   Q( 1, 1, 3)         105.6792         INFINITY         30.74799
                   Q( 1, 1, 4)         114.8904         INFINITY         41.98515
                   Q( 1, 2, 1)         84.62151         INFINITY         60.74698
                   Q( 1, 2, 2)         65.65494         INFINITY         30.66424
                   Q( 1, 2, 3)         80.39509         16.09390         80.39509
                   Q( 1, 2, 4)         78.36910         11.56744         78.36910
                   Q( 1, 3, 1)         71.73294         INFINITY         47.85841
                   Q( 1, 3, 2)         34.99070         30.66424         34.99070
                   Q( 1, 3, 3)         96.48899         INFINITY         16.09390
                   Q( 1, 3, 4)         89.93655         INFINITY         11.56744
                   Q( 2, 1, 1)         18.41064         61.15171         22.13986
                   Q( 2, 1, 2)         60.59578         5.463894         47.85841
                   Q( 2, 1, 3)         105.6792         INFINITY         30.34326
                   Q( 2, 1, 4)         114.8904         INFINITY         41.58042
                   Q( 2, 2, 1)         84.62151         INFINITY         61.15171
                   Q( 2, 2, 2)         65.65494         47.85841         4.948513
                   Q( 2, 2, 3)         80.39509         30.34326         79.06516
                   Q( 2, 2, 4)         78.36910         41.58042         77.03917
                   Q( 2, 3, 1)         71.73294         INFINITY         78.92738
                   Q( 2, 3, 2)         34.99070         4.948513         237.0092
                   Q( 2, 3, 3)         96.48899         INFINITY         46.75814
                   Q( 2, 3, 4)         89.93655         INFINITY         42.23168
                   Q( 3, 1, 1)         17.53394         30.79108         37.52601
                   Q( 3, 1, 2)         57.71027         INFINITY         44.37786
                   Q( 3, 1, 3)         100.6469         INFINITY         28.74464
                   Q( 3, 1, 4)         109.4194         INFINITY         43.75761
                   Q( 3, 2, 1)         80.59191         INFINITY         58.39343
                   Q( 3, 2, 2)         62.52852         INFINITY         44.53156
                   Q( 3, 2, 3)         76.56676         4.310911         30.79108
                   Q( 3, 2, 4)         74.63724         INFINITY         4.310911
                   Q( 3, 3, 1)         68.31708         INFINITY         30.79108
                   Q( 3, 3, 2)         33.32448         44.37786         33.32448
                   Q( 3, 3, 3)         91.89428         30.79108         4.310911
                   Q( 3, 3, 4)         85.65385         4.310911         85.65385
                   Q( 4, 1, 1)         17.53394         63.05797         17.53394
                   Q( 4, 1, 2)         57.71027         4.818248         57.71027
                   Q( 4, 1, 3)         100.6469         INFINITY         24.08010
                   Q( 4, 1, 4)         109.4194         INFINITY         34.78215
                   Q( 4, 2, 1)         80.59191         INFINITY         63.05797
                   Q( 4, 2, 2)         62.52852         INFINITY         4.818248
                   Q( 4, 2, 3)         76.56676         24.08010         76.56676
                   Q( 4, 2, 4)         74.63724         34.78215         74.63724
                   Q( 4, 3, 1)         68.31708         INFINITY         80.11745
                   Q( 4, 3, 2)         33.32448         INFINITY         4.948513
