Restricción,Slack o Excedente,Precio Dual
FO,127457600.0,-1.0
"DEMANDA_PRODUCTO_I_CENTRO_K( 1, 1)",0.0,-23.87453
"DEMANDA_PRODUCTO_I_CENTRO_K( 1, 2)",0.0,-34.9907
"DEMANDA_PRODUCTO_I_CENTRO_K( 1, 3)",0.0,-80.39509
"DEMANDA_PRODUCTO_I_CENTRO_K( 1, 4)",0.0,-78.3691
"DEMANDA_PRODUCTO_I_CENTRO_K( 2, 1)",0.0,-22.13986
"DEMANDA_PRODUCTO_I_CENTRO_K( 2, 2)",0.0,-64.32501
"DEMANDA_PRODUCTO_I_CENTRO_K( 2, 3)",0.0,-79.06516
"DEMANDA_PRODUCTO_I_CENTRO_K( 2, 4)",0.0,-77.03917
"DEMANDA_PRODUCTO_I_CENTRO_K( 3, 1)",0.0,-37.52601
"DEMANDA_PRODUCTO_I_CENTRO_K( 3, 2)",0.0,-33.32448
"DEMANDA_PRODUCTO_I_CENTRO_K( 3, 3)",0.0,-91.89428
"DEMANDA_PRODUCTO_I_CENTRO_K( 3, 4)",0.0,-85.65385
"DEMANDA_PRODUCTO_I_CENTRO_K( 4, 1)",0.0,-17.53394
"DEMANDA_PRODUCTO_I_CENTRO_K( 4, 2)",0.0,-57.71027
"DEMANDA_PRODUCTO_I_CENTRO_K( 4, 3)",0.0,-76.56676
"DEMANDA_PRODUCTO_I_CENTRO_K( 4, 4)",0.0,-74.63724
"DEMANDA_PRODUCTO_I_CENTRO_K( 5, 1)",0.0,-40.09401
"DEMANDA_PRODUCTO_I_CENTRO_K( 5, 2)",0.0,-82.27915
"DEMANDA_PRODUCTO_I_CENTRO_K( 5, 3)",0.0,-97.0193
"DEMANDA_PRODUCTO_I_CENTRO_K( 5, 4)",0.0,-94.99331
"DEMANDA_PRODUCTO_I_CENTRO_K( 6, 1)",0.0,-78.47357
"DEMANDA_PRODUCTO_I_CENTRO_K( 6, 2)",0.0,-111.704
"DEMANDA_PRODUCTO_I_CENTRO_K( 6, 3)",0.0,-126.4442
"DEMANDA_PRODUCTO_I_CENTRO_K( 6, 4)",0.0,-124.4182
DISPONIBILIDAD_LECHE_CRUDA,20754070.0,0.0
ENTERA_A_DESCREMADA_PLANTA_J_( 1),0.0,1.73467
ENTERA_A_DESCREMADA_PLANTA_J_( 2),0.0,1.329937
DESCREMADA_SANTA_FE,0.0,-2.545276
CREMA_PRODUCIDA_PLANTA_J_( 1),0.0,21.68337
CREMA_PRODUCIDA_PLANTA_J_( 2),0.0,16.62421
MANTECA_PRODUCIDA_PLANTA_J_( 1),0.0,-21.68337
MANTECA_PRODUCIDA_PLANTA_J_( 2),0.0,-16.62421
LECHE_ENTERA_PLANTA_J_( 1),0.0,5.463894
LECHE_ENTERA_PLANTA_J_( 2),165851.4,0.0
DISPONIBILIDAD_LECHE_FLUIDA_SANTA_FE,948713.6,0.0
SUBPRODUCTO_CREMA_PLANTA_J_( 1),41176.36,0.0
SUBPRODUCTO_CREMA_PLANTA_J_( 2),146486.1,0.0
SUBPRODUCTO_MANTECA_PLANTA_J_( 1),48585.35,0.0
SUBPRODUCTO_MANTECA_PLANTA_J_( 2),63826.55,0.0
EN_POLVO_J_( 1),0.0,19.99207
EN_POLVO_J_( 2),0.0,15.32752
EN_POLVO_J_( 3),60386.67,0.0
"NO_NEGATIVA_QIJK( 1, 1, 1)",722315.5,0.0
"NO_NEGATIVA_QIJK( 1, 1, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 1, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 1, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 2, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 2, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 2, 3)",288926.2,0.0
"NO_NEGATIVA_QIJK( 1, 2, 4)",192617.5,0.0
"NO_NEGATIVA_QIJK( 1, 3, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 3, 2)",401286.4,0.0
"NO_NEGATIVA_QIJK( 1, 3, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 1, 3, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 1, 1)",418630.3,0.0
"NO_NEGATIVA_QIJK( 2, 1, 2)",59054.25,0.0
"NO_NEGATIVA_QIJK( 2, 1, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 1, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 2, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 2, 2)",173518.1,0.0
"NO_NEGATIVA_QIJK( 2, 2, 3)",167452.1,0.0
"NO_NEGATIVA_QIJK( 2, 2, 4)",111634.7,0.0
"NO_NEGATIVA_QIJK( 2, 3, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 3, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 3, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 2, 3, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 3, 1, 1)",59080.86,0.0
